phi,mu[1],mu[2],mu[3],mu[4],mu[5],mu[6],mu[7],mu[8],mu[9],mu[10],mu[11],mu[12],mu[13],mu[14],mu[15],mu[16],mu[17],mu[18],mu[19],mu[20]
0.962497651,0.061955259,0.037866072,0.000696454,0.603339847,0.051044409,7.63E-16,0.002515069,0.056417003,1.90E-05,1.082784443,5.96E-13,0.008005987,4.913919142,0.110646679,0.005803092,3.09362222,8.11E-07,0.931014677,2.593499259,0.053089195
0.9338524,0.080904925,3.34E-12,0.004350271,0.645513429,3.15E-10,0.152684197,0.004125866,0.102683661,0.003200301,0.813991712,9.16E-05,5.24E-12,5.463437831,0.105935071,7.64E-10,2.980027836,7.58E-15,2.491056705,2.535265099,0.183186558
0.877881988,0.074738535,9.13E-10,0.013087239,0.64659522,0.003586997,0.000112864,0.00429131,0.058536206,0.005899828,0.75365771,0.002645364,2.06E-12,5.359324795,0.105060586,3.11E-07,2.887006015,9.79E-17,2.87068892,2.561552673,0.116541398
0.869562322,0.067160386,0.000247411,0.00054976,0.760207506,1.52E-06,1.08E-07,0.000609658,0.036892675,0.000219607,0.981428916,9.79E-13,7.44E-07,6.341763281,0.092871269,1.41E-10,4.531193654,4.90E-11,1.211569127,3.206133441,0.074292958
1.014800903,0.12027806,5.34E-13,0.003169633,0.552450096,1.07E-07,8.03E-08,0.001386205,0.00019252,0.000839308,1.007817609,3.62E-19,2.19E-05,6.036626224,0.134614046,3.57E-05,3.572134448,4.87E-13,2.184534108,2.718776534,0.055094809
0.84983291,0.108789009,1.01E-05,0.004680354,0.648440504,5.78E-05,1.71E-11,9.77E-05,0.270297715,0.013642744,1.220214505,0.887525498,2.62E-07,5.843668158,0.08707898,0.000598071,3.758892604,5.48E-10,1.638068533,2.794138944,0.029644688
0.968082704,0.067857186,2.28E-05,0.003735709,0.68861267,0.000144083,6.91E-11,0.000566394,0.050156834,0.001243297,1.582780703,8.72E-16,1.45E-18,7.764090609,0.088395912,0.156154042,3.701994349,6.77E-29,3.293565982,2.0722794,0.006232294
0.961862049,0.102132863,6.88E-06,1.08E-06,0.563522656,0.002773972,0.020234272,0.000316067,0.043494415,0.000870966,0.598951396,0.032713758,2.68E-20,6.179909748,0.1419523,0.06515513,3.256744104,1.25E-09,1.115820953,3.155210578,0.282961844
1.163610053,0.076258451,5.91E-14,3.65E-07,0.70321951,1.59E-19,0.00167698,7.36E-06,4.21E-05,1.94E-07,1.355743813,0.000790854,2.15E-14,5.661525076,0.07750002,1.17E-09,3.912976196,2.57E-12,2.839846108,2.596811319,0.003189133
0.995852741,0.062322145,5.99E-09,1.28E-05,0.548749288,4.26E-10,0.04357646,0.000255934,0.061248437,0.099230796,0.835205259,0.000760652,5.74E-14,5.350249793,0.113941478,0.084960314,3.756860848,9.86E-11,2.167260114,2.31966584,0.020325688
0.794502442,0.105420832,0.000253155,1.19E-08,0.732761108,3.12E-07,3.17E-17,2.19E-07,0.019949578,1.07E-08,1.087613766,0.083167141,5.64E-14,6.614336827,0.093392744,0.006390462,3.963504302,0.013682695,2.88239666,2.349752319,0.031806679
0.98214421,0.068249018,6.17E-17,7.25E-12,0.550740656,1.16E-13,1.15E-33,0.000232392,0.129625585,1.49E-06,0.736539504,1.94E-06,2.91E-26,4.526597833,0.096179115,0.004856247,3.164378813,0.026536864,1.681083019,3.774598194,0.022970989
0.881977817,0.061720949,1.52E-10,2.74E-12,0.565400245,1.61E-16,1.67E-30,4.56E-05,0.082792585,3.62E-05,0.855721882,0.010124024,7.63E-22,5.153209088,0.094426243,0.009122273,3.459447947,2.53E-06,1.721938708,3.105770887,0.007671415
1.044518774,0.140828628,8.18E-23,4.68E-11,0.677969251,3.33E-19,0.019144676,0.000268875,0.08985563,0.043987256,1.165003155,0.002219798,1.32E-07,6.40490242,0.107550737,0.004514005,3.703545837,5.06E-05,1.953771522,2.422284659,0.154012733
1.118378403,0.143628299,1.96E-17,2.41E-10,0.575222942,1.63E-17,0.002892761,2.72E-05,0.076129769,0.009371161,0.9540082,4.45E-08,3.09E-10,6.342241327,0.114234145,0.051107424,4.078336631,0.158890633,1.74924989,2.289173478,0.088784864
0.822547099,0.052196057,2.20E-17,0.000114984,0.698071522,8.74E-16,0.01556685,0.01197042,0.100699737,0.004253363,0.967281151,2.14E-07,2.25E-05,5.001971732,0.084775478,0.009361146,3.054371132,0.00016376,2.00159031,3.289609075,0.040054287
1.056718646,0.135795784,1.62E-05,0.000135907,0.61323492,4.74E-10,1.45E-06,3.68E-06,0.011859135,0.000136383,0.806690863,2.13E-07,2.69E-24,5.962231342,0.120316054,0.000278986,4.139184079,1.02E-06,2.32820761,2.378340885,0.101483285
0.772358323,0.054208843,9.92E-06,0.021599539,0.529896589,8.85E-14,2.66E-06,0.000159277,0.004001686,4.39E-05,1.111344144,5.21E-13,1.63E-22,5.26420323,0.083419168,0.105135178,2.611412476,4.74E-07,1.40738419,3.62101962,0.044778352
0.803071739,0.100226896,1.28E-10,4.47E-06,0.528944303,0.045333477,8.18E-09,0.001916024,0.086079327,0.00066109,1.521288284,0.121874983,3.33E-26,5.397826206,0.110316055,1.12E-07,3.610425252,2.28E-07,2.066496823,3.161675151,0.054490451
1.256676902,0.044791965,0.007013839,2.34E-05,0.571932154,9.22E-06,1.68E-07,0.004766701,0.113403987,0.003253869,1.005461973,2.78E-12,4.59E-06,5.708273549,0.08984903,0.041163531,3.992293852,5.96E-13,2.650073984,3.52393806,0.06578173
0.876700389,0.134650345,0.001480816,0.000750869,0.655204641,8.79E-05,2.93E-11,0.001578473,0.121301434,0.010398961,0.754914853,1.28E-13,3.04E-18,6.688523696,0.094176543,0.001285818,3.002003429,3.07E-12,1.934816305,2.057635258,0.062325921
1.021191375,0.06585211,0.002651818,3.64E-07,0.53206323,6.78E-06,4.53E-05,8.36E-06,0.026630077,0.001025398,1.180484501,1.47E-12,1.17E-18,3.879961399,0.114446935,0.010202342,3.87420962,7.51E-15,1.66954433,3.612891083,0.016784512
0.981546336,0.088029738,0.0131221,1.84E-07,0.617534887,5.11E-06,5.92E-09,0.021655075,0.433351408,0.004047604,0.629895902,7.88E-12,4.26E-24,8.335065956,0.103205606,5.59E-10,2.592689181,8.46E-16,1.846553016,1.885646506,0.069883105
0.686657594,0.105704711,2.34E-12,3.30E-05,0.512930601,0.02097884,1.89E-07,0.000144415,0.00384641,0.012384331,0.670235829,0.001574722,1.58E-27,6.587045466,0.095721321,5.42E-14,3.400901497,6.15E-49,3.104006944,2.806813552,0.082446709
1.241785883,0.08232891,8.90E-06,0.020280715,0.657543886,0.042309844,2.36E-07,0.013636597,0.009302159,0.000141991,1.087758765,0.007880201,2.29E-11,5.657406602,0.098318506,2.09E-18,3.539649235,3.80E-28,1.241067754,2.960429478,0.02328164
