phi,beta,p10,mu[1],mu[2],mu[3],mu[4],mu[5],mu[6],mu[7],mu[8],mu[9],mu[10],mu[11],mu[12],mu[13],mu[14],mu[15],mu[16],mu[17],mu[18],mu[19],mu[20]
0.824315819,1.988553148,-4.303999987,0.058784757,1.94E-16,0.006303348,0.489790514,1.55E-05,1.01E-10,0.003898818,0.164100694,5.99E-06,0.75372538,0.013812585,3.46E-05,6.123857764,0.104492236,0.188492096,2.752656977,5.63E-06,3.071722761,3.481535214,0.072947716
1.070337928,2.127022522,-4.389000811,0.121226764,3.64E-05,5.49E-05,0.590269854,6.86E-06,3.21E-06,0.001737622,0.154168716,5.53E-07,0.786342931,0.01623585,1.40E-05,7.128673319,0.107493786,0.173913191,3.40731949,5.20E-11,1.414828305,3.21996659,0.057525452
1.181345958,1.831380066,-4.609727493,0.083114222,4.37E-06,0.021477342,0.526069317,1.97E-07,6.22E-06,0.00395653,0.12644531,2.67E-06,0.935248768,0.188787059,8.89E-09,6.990377186,0.112675326,0.064619387,2.381690864,9.30E-24,2.506584797,2.822108317,0.104586677
0.868501107,2.536618827,-4.594674664,0.094841431,0.003471604,2.17E-05,0.714138178,1.52E-05,5.44E-40,0.000998784,0.174087526,2.28E-07,0.69077032,0.030520599,3.28E-08,6.526975607,0.100465542,0.151215782,4.772231448,3.64E-26,2.242915371,3.15589267,0.070045689
1.00180406,3.513353637,-3.308806808,0.085808222,0.018304035,0.002425057,0.536043743,1.48E-05,2.01E-37,0.001000908,0.020760379,0.048393114,1.071103446,3.27E-05,1.76E-20,5.6491604,0.098437648,0.578600496,2.790131303,1.02E-20,3.532479186,3.584645591,0.082851066
1.050819879,3.393671856,-3.630218137,0.091153263,2.70E-06,0.003153417,0.577609661,2.12E-10,5.76E-38,0.00019675,0.008086552,0.018716207,1.128153394,6.26E-07,3.29E-19,5.336173429,0.095963747,0.431914929,2.646563564,6.32E-23,3.652844974,3.630530424,0.077413549
1.155993758,2.707786285,-3.468784103,0.084701944,2.86E-05,0.000596662,0.499474654,9.16E-09,4.45E-42,0.000184763,0.03607144,0.001720157,0.848716522,0.002346806,1.70E-12,5.481817783,0.095996637,0.140003566,2.689695519,5.14E-32,2.915550381,2.892074748,0.103563174
1.092710284,2.240029666,-3.491239505,0.101287028,6.92E-06,0.014283379,0.595032349,7.74E-06,1.48E-45,0.003766082,0.11573927,0.002489618,0.688343966,1.25E-06,6.32E-09,5.653391883,0.105521875,0.111680572,2.848635691,1.49E-32,2.552949797,2.577654263,0.05978142
0.692967919,2.257515393,-4.836928891,0.083412634,3.33E-06,8.33E-06,0.462680954,0.000663699,2.06E-12,0.001917964,0.133170882,0.006139349,0.889491512,1.51E-10,1.71E-10,7.895340416,0.091769221,0.433702136,2.711441507,4.01E-14,2.331839684,5.223421308,0.068195438
0.869832271,2.919990977,-4.182866665,0.114882464,2.26E-19,0.030937866,0.668040918,3.89E-08,6.25E-09,4.15E-05,0.156474127,0.007714642,1.133966694,0.050845958,1.02E-10,7.579842489,0.103066591,0.280992605,3.672802647,6.55E-05,2.171262395,4.900812773,0.011816788
0.906697317,3.582944961,-4.93629504,0.109522939,4.45E-17,2.46E-05,0.559375681,1.84E-07,3.23E-18,0.027253872,0.045733151,0.010293712,0.834254874,0.116285527,7.90E-10,6.260427127,0.109692973,0.288691862,3.476227466,2.16E-17,2.304730083,3.078618277,0.021186548
1.030126,2.898455634,-3.668440191,0.094463183,2.83E-12,0.000583905,0.628871251,0.005428884,2.35E-10,1.13E-05,0.100040088,0.008362289,0.970032673,0.038160992,6.65E-08,5.560547475,0.094146775,0.164287829,3.849694695,1.24E-07,1.581117923,3.476179455,0.085434712
0.809990373,3.379788886,-3.467931954,0.074583448,0.036192635,0.012574688,0.566823205,1.17E-12,4.77E-10,0.00180862,0.000150729,6.46E-05,0.847529622,0.039105402,1.28E-13,6.017452636,0.12218621,0.017047067,2.996921937,8.58E-08,3.140455659,4.277755791,0.065250441
0.819415304,3.470806653,-3.97508678,0.116949215,2.81E-20,8.83E-05,0.461633314,3.46E-21,9.61E-09,3.36E-06,0.648269277,0.001226827,0.867763844,0.122118334,9.72E-19,7.157880584,0.111972713,0.645718449,3.280955168,2.40E-12,4.602729956,4.07839181,0.194605567
0.846119174,3.54033521,-4.876495238,0.08540982,2.67E-12,4.83E-05,0.562596012,1.47E-18,1.00E-14,0.000148055,6.85E-05,0.040873166,0.900198684,0.15297339,1.11E-07,7.528959298,0.08124582,0.701991491,3.56008212,1.48E-07,2.60985274,4.484540449,0.063979405
0.954846325,2.502119395,-4.675567406,0.091038456,4.61E-22,0.001305615,0.45851651,3.37E-19,0.000548598,0.00053221,0.291986622,0.006772443,0.826740396,0.191007953,0.001288958,6.343425372,0.101910398,0.221135074,3.332524548,1.06E-11,3.356122387,4.918785234,0.088076492
0.841987202,3.153732151,-4.262327815,0.109842859,4.21E-33,0.000350929,0.508981601,4.98E-24,1.41E-13,0.000972559,0.025243658,0.013487551,0.704112926,0.213364662,0.001082528,5.302753477,0.098391475,0.254496578,3.808651852,5.64E-08,2.490137528,3.407692989,0.059020422
1.053455313,1.780510274,-3.883534752,0.075326985,8.49E-21,4.50E-05,0.604384473,4.37E-26,4.80E-13,0.004985052,0.009385984,0.00172775,1.041583725,0.021402137,5.92E-24,6.204847738,0.106609496,0.148948744,2.504195575,7.81E-06,2.103532116,2.978935855,0.077913019
1.098771931,2.081639599,-3.660587143,0.086847101,2.29E-05,0.000110551,0.640304221,3.59E-21,1.16E-08,0.003940418,0.200478454,0.00142477,1.251007725,2.67E-10,2.80E-18,7.817429704,0.101231083,0.115740085,2.491998462,1.23E-08,1.979240888,3.539233252,0.087118524
1.136741073,2.636473595,-3.883093919,0.096022261,5.21E-05,5.92E-05,0.62028164,3.55E-30,1.63E-07,0.001830681,4.55E-08,0.010048218,1.083663213,2.19E-05,0.000189087,6.936954088,0.089954417,0.146291491,2.591913641,1.38E-25,3.193459932,2.850104398,0.025786437
0.961083083,1.90892938,-3.81243669,0.113553446,0.00023556,0.01571419,0.448035991,1.65E-36,9.20E-06,9.45E-05,0.002713938,0.004268217,0.683620957,2.71E-10,0.000179389,5.508798918,0.105348694,0.103650271,3.242102213,2.65E-09,2.39939463,2.836841218,0.031665495
0.927809949,2.365673601,-4.528946658,0.058194136,0.003402828,1.65E-05,0.625537993,2.66E-51,6.94E-06,0.000114777,0.063706944,0.001041516,1.112795549,3.29E-09,0.000344055,4.923286285,0.094394972,0.772143425,3.498817091,0.002653957,1.944359991,3.342139276,0.167670494
0.954617822,2.567848089,-4.292113984,0.101410227,0.004319915,0.003881002,0.806626492,1.26E-37,1.20E-12,0.007945527,0.170937151,0.001483762,1.173135907,0.047146814,4.57E-11,5.523992428,0.093065682,0.808654845,2.971560979,6.61E-15,1.847123335,2.53683529,0.028628134
0.937537964,2.376512783,-3.830493873,0.071182159,0.000145864,0.001438759,0.458571658,9.07E-46,1.27E-05,2.02E-05,0.173999773,0.003422154,0.858826487,0.053339588,2.63E-20,6.589428922,0.1023469,0.135811646,3.273252933,1.23E-12,2.20672691,4.356328502,0.133814785
0.937998671,1.834639099,-4.342158158,0.109141729,0.00012185,3.39E-05,0.425925813,2.42E-47,1.18E-06,8.08E-05,0.065285041,0.001516118,0.849284751,0.035169109,9.23E-24,6.599824085,0.081980297,0.183483327,2.573457028,6.98E-11,2.517885844,2.1584183,0.062690535
1.104102705,1.526433803,-4.969146859,0.104071189,5.15E-08,2.60E-05,0.493417851,3.00E-48,6.81E-07,0.000105334,0.075825857,0.02145853,0.73347071,1.05E-12,1.21E-31,6.499538509,0.092560936,0.466609855,2.899974809,1.24E-23,1.849952634,2.142632911,0.072076947
0.749917462,3.29339792,-3.442267045,0.089946663,3.38E-05,0.000204542,0.711248575,1.22E-21,1.78E-08,0.002202729,0.062031236,1.08E-05,0.93761369,9.60E-21,1.69E-30,5.825574502,0.111583539,0.744451556,3.328087518,2.76E-15,2.763059958,5.289614301,0.060923455
0.877792533,2.23830881,-4.263025936,0.073161055,0.00052396,9.85E-05,0.534472987,0.038327921,1.99E-07,0.001845169,0.04551617,1.69E-10,0.762163964,1.86E-26,3.48E-07,6.441755227,0.09995459,0.065126674,3.294647776,3.85E-10,1.537431151,4.034401707,0.070573498
0.901516949,2.256509539,-3.996602835,0.095530693,4.49E-05,0.000927378,0.575334345,9.41E-05,3.28E-20,0.015583379,0.002932185,8.38E-10,0.951100267,2.53E-35,0.004340144,6.186436195,0.087322602,1.024970413,2.616561977,2.42E-12,1.86001105,3.750682213,0.075026459
0.961619805,1.825221246,-3.709789251,0.115851682,0.000883831,5.59E-05,0.672054845,0.010272586,7.73E-20,0.000706818,0.133109423,4.55E-11,1.097630989,2.06E-21,2.31E-11,6.41576241,0.098224844,0.039013556,2.857196742,5.75E-23,2.572040976,3.425384478,0.142318223
0.956405018,3.069204758,-4.758494106,0.110356188,1.41E-09,0.022509507,0.55710145,0.00070794,1.79E-18,0.003591028,0.206956653,3.98E-12,1.000940949,2.54E-34,4.57E-07,7.129572344,0.086468273,0.123245161,3.464072242,5.45E-36,2.219751565,2.858932682,0.043680579
0.977907479,2.567897592,-5.139217407,0.112535104,9.98E-11,0.000611111,0.629848296,0.015718512,1.75E-10,0.000681165,0.10989704,6.15E-11,0.880356169,4.18E-41,5.95E-07,7.533987807,0.080051274,0.64742126,3.766410326,4.49E-34,2.000532751,2.859722911,0.041247747
0.846143904,2.047555081,-3.498777895,0.059837545,0.000122713,0.000159355,0.486834637,7.62E-09,4.27E-27,0.004019476,0.10572847,1.39E-11,0.873968879,7.45E-11,2.48E-14,6.20195081,0.138108782,0.364211593,2.359719496,2.34E-14,2.086917586,4.330355748,0.104731999
0.913177166,2.20590273,-3.307527907,0.09002398,2.61E-11,5.80E-05,0.524705924,4.24E-08,2.71E-22,0.009502606,0.050698853,6.62E-13,0.958324129,4.76E-21,2.10E-18,7.026720333,0.140614742,0.133064602,2.383913961,0.012563177,2.139384749,4.68924325,0.102454394
0.932253905,2.239114796,-3.063162269,0.095782505,3.31E-09,0.000132103,0.49920353,1.00E-06,1.06E-27,0.005742393,0.296493649,9.01E-13,0.851721924,1.53E-18,7.32E-20,6.515794461,0.144859028,0.025141978,2.273428997,0.000307245,2.371671687,4.784858692,0.093968107
0.83324192,1.664285393,-3.92859316,0.12801093,0.004911723,1.66E-06,0.497988364,1.49E-09,2.68E-13,0.004377357,0.002393759,1.07E-13,0.717598929,1.20E-08,7.23E-35,6.600771133,0.156220758,2.45E-05,2.911329971,8.32E-05,3.05603526,4.970232519,0.091923231
0.968720292,2.926105259,-3.32676294,0.093049264,8.78E-16,5.49E-05,0.701998163,0.010188917,0.001146829,0.002301978,2.60E-05,4.15E-14,0.732550982,5.77E-07,8.52E-34,6.172191848,0.100938209,1.27E-08,3.203788859,1.26E-23,3.426608208,3.046088553,0.070194558
0.819514201,2.773009293,-3.646507722,0.073477063,1.44E-11,0.002730599,0.488768621,2.70E-06,1.17E-06,0.001177375,0.023702596,6.97E-08,0.728330168,9.18E-08,1.89E-26,5.426157506,0.120515493,5.40E-06,3.73074353,2.52E-23,2.143066535,3.318006877,0.043944205
1.039650955,2.433225401,-3.449630471,0.126364347,5.56E-17,0.001066754,0.656636361,1.92E-16,3.73E-13,0.003919276,0.017368065,6.08E-08,1.061118564,7.08E-07,1.31E-25,6.323188907,0.087889104,0.009311429,2.821298806,1.11E-06,2.426595153,3.83176485,0.079410393
1.237976556,2.909854841,-4.049171953,0.068833438,0.023265967,0.000761191,0.657565337,2.49E-14,7.55E-12,0.001801237,0.007284968,1.45E-11,1.15951022,0.001472061,8.69E-19,6.63420301,0.089422012,0.040111399,3.643260258,4.38E-10,3.440724968,3.089442686,0.084225476
0.85781126,2.183027875,-4.173097333,0.131968263,7.33E-18,0.000501653,0.571063401,5.50E-37,1.92E-11,0.003894468,0.009107087,1.02E-05,0.830277723,5.70E-08,9.45E-09,5.359763189,0.108156372,0.178968747,2.992891981,9.00E-08,1.752535587,3.227686742,0.07952288
0.822684121,2.088171775,-3.914303205,0.104605252,2.36E-16,0.002588932,0.635972509,1.67E-36,5.94E-19,0.004868622,0.069793808,6.53E-06,0.884887382,0.004105235,4.36E-19,5.583796799,0.09341449,0.186156335,3.296465654,5.47E-26,1.925056585,2.391123416,0.179622021
1.049661928,2.728890082,-4.170688972,0.070219994,0.005989191,0.004050286,0.54953018,5.47E-28,5.69E-28,0.000157577,0.147050471,1.47E-08,0.841412777,4.88E-18,7.83E-17,5.927590103,0.111883175,0.092293424,2.61620689,4.07E-20,2.861160857,4.10316762,0.0087592
0.806179641,1.985213951,-3.369760862,0.064000828,3.76E-05,0.002665564,0.649787675,2.46E-19,4.62E-16,6.93E-05,0.057420327,2.69E-07,1.065704582,8.67E-19,6.19E-21,5.139033458,0.10565976,0.042841461,2.708699079,1.17E-19,2.09196167,2.279557463,0.160176943
0.807205893,2.880662662,-3.321793842,0.088444871,3.40E-06,0.005771192,0.665516362,1.50E-10,7.40E-10,2.13E-06,0.037359415,8.58E-09,0.755103757,4.30E-19,1.76E-22,5.397499542,0.114554629,0.00018787,2.869534241,2.53E-08,3.463867584,3.290175785,0.06980728
0.90924758,2.89183054,-3.743644492,0.1053293,4.78E-07,0.000740639,0.412787899,4.78E-10,4.36E-17,2.10E-09,0.084917919,1.45E-07,0.749300168,2.77E-20,2.74E-22,6.922957112,0.103108544,0.000403541,3.524005239,1.26E-07,3.507707061,3.043644678,0.074747556
0.8679362,1.964481158,-4.008783531,0.115852183,3.18E-07,0.0001645,0.404541115,2.09E-09,0.018460434,1.30E-08,0.002657149,3.96E-05,0.575712291,2.20E-08,5.38E-07,5.924668303,0.100210579,0.000130846,3.42911246,1.66E-07,2.283632524,3.362959176,0.049973031
0.868406802,2.029866421,-4.012805167,0.119585584,1.81E-06,0.000156669,0.405487077,5.61E-10,0.006866505,1.54E-08,0.001196752,4.47E-05,0.598950576,4.44E-07,1.45E-09,5.887716555,0.104493538,0.000115075,3.411277997,7.20E-05,2.557154276,3.504128106,0.055667072
0.945769813,2.54205197,-3.512959578,0.0703273,6.15E-05,0.006530349,0.774511337,6.26E-06,4.44E-25,2.79E-07,0.447429561,0.017979738,1.169826454,8.31E-05,2.07E-09,5.97437459,0.102357082,0.000631626,2.627041784,0.033387557,1.663479898,3.06248058,0.099155716
0.993541094,2.156706934,-3.756413377,0.111406889,6.88E-05,0.001818424,0.60449343,0.013457887,4.75E-08,0.01864401,0.00065007,0.000200189,0.60809946,7.21E-05,1.96E-22,5.465307129,0.08200754,2.30E-05,2.683325915,0.005968839,3.052479199,3.350291176,0.06699637
0.944082219,2.814748695,-3.472902848,0.11758771,9.43E-06,0.006382642,0.607635285,3.40E-13,5.75E-17,0.000105107,0.000123901,0.040711355,0.577717382,5.17E-08,2.47E-05,5.481604708,0.08976729,5.49E-07,3.656385452,0.000443303,2.350703165,3.515693603,0.034783653
0.953070468,2.654993846,-3.026349832,0.076309438,0.004672554,1.79E-05,0.592351014,1.48E-14,1.93E-13,2.89E-05,0.002516305,0.000208577,0.589698254,0.000212076,2.06E-20,5.916542199,0.126522402,6.31E-08,3.814564451,0.000360423,2.341840797,4.059732158,0.062309022
0.906095932,2.53423226,-3.888916643,0.110022303,0.000295611,4.59E-05,0.59593817,4.52E-07,2.85E-14,0.000280021,0.000357581,0.035713894,1.129919094,0.00512924,0.000882573,7.26761825,0.079709899,0.005286779,2.500538407,1.58E-06,2.505961083,2.555602294,0.049285519
0.939795593,2.280560474,-3.693039545,0.095566144,9.80E-25,0.001091633,0.517139349,3.17E-05,9.95E-09,0.002535904,0.090476111,0.002996495,1.030237796,2.59E-07,1.56E-14,6.954913193,0.107256461,0.719462552,2.2790033,6.80E-13,2.576337567,3.024371377,0.064962169
0.866017508,2.915515689,-3.995975543,0.07875068,3.16E-27,0.001705705,0.708669094,1.06E-12,7.85E-05,0.002761835,6.30E-06,8.38E-08,0.701867457,5.01E-11,6.88E-13,7.728536826,0.092174226,0.159753526,2.700471386,0.000221074,1.891464784,4.450887236,0.070185543
0.76128548,1.889390845,-4.217610564,0.100814582,4.56E-11,0.001022401,0.563021313,1.11E-11,3.28E-07,1.89E-05,0.015867007,1.85E-07,0.750831668,3.44E-12,0.013848755,6.48348556,0.091276815,0.094594785,3.140653542,0.00938345,3.968024466,2.968305026,0.144674794
0.858483265,2.401884508,-3.904187134,0.098508908,0.001342216,0.007750032,0.446614923,2.05E-13,1.96E-10,0.000279623,3.82E-06,8.49E-06,1.031177749,1.66E-15,6.73E-16,6.403886588,0.089360754,0.068150673,3.163647636,2.07E-08,3.738704079,2.745468592,0.066714478
1.078257739,2.092762658,-3.604974583,0.09678486,1.30E-08,0.001203011,0.623822398,4.02E-12,0.000172119,1.20E-05,0.009277681,0.058775291,0.614787593,7.49E-09,8.05E-07,7.326967561,0.101853292,0.059386564,2.962101782,5.87E-21,2.252688852,3.890270438,0.066567612
1.070623721,2.361293275,-4.304780992,0.084415504,0.000226918,0.002184045,0.582022267,4.15E-05,6.01E-06,1.00E-06,0.015969391,7.87E-06,0.666999713,2.46E-06,1.07E-09,5.175370431,0.133794282,0.080740054,2.89092085,6.84E-15,1.822180404,2.817377388,0.053167813
1.031688154,2.193656229,-3.705519619,0.083823299,0.000574108,0.000300422,0.613253766,0.000376256,1.01E-16,0.012690586,0.023883039,0.000153863,1.106999276,9.60E-11,0.001536044,6.143218257,0.085493985,0.073623899,3.403138283,0.003326508,2.09843652,3.424073506,0.135017214
1.000502738,2.294325715,-4.6966243,0.086836624,8.84E-11,0.002268641,0.51374445,4.11E-05,6.51E-13,0.000158616,0.330169281,0.056996691,0.82400155,2.41E-12,6.29E-06,5.250489132,0.104031452,0.116931939,3.288491485,3.89E-07,3.172854904,2.868007671,0.057489744
0.726846802,1.987077798,-4.151640209,0.082259223,6.08E-08,0.007306914,0.567258572,0.021849358,5.77E-17,0.000576573,0.017502232,0.000338387,1.069790501,2.14E-07,1.24E-06,5.205186151,0.083963621,0.491011817,3.285252182,1.77E-27,2.372860383,2.999438503,0.067376405
0.623110417,2.248011761,-3.376560181,0.096976215,7.98E-10,0.000104314,0.676026768,3.44E-06,8.82E-22,0.000179936,0.055894137,0.000716445,1.102257393,1.67E-11,0.00241423,5.665831763,0.083450666,0.167760421,3.030445668,5.20E-22,1.715277691,2.563791436,0.070601024
1.227463417,2.3432712,-5.109961827,0.074873228,5.07E-05,0.000449583,0.804509196,2.48E-09,0.030730889,0.000413287,0.249849366,0.004036365,0.730522869,3.93E-11,2.77E-07,5.491328033,0.134126383,0.068904107,3.486746323,1.10E-25,2.887875137,3.825189502,0.069351275
0.814850175,2.675677828,-4.247374108,0.073007103,1.16E-06,0.00952119,0.716407644,7.97E-06,0.012398734,0.013969685,0.175152079,0.004570911,0.838131955,4.69E-10,2.26E-05,5.751428187,0.10051347,0.141157301,3.368242555,3.66E-05,3.805983642,2.949120113,0.112960518
0.959143304,2.121604726,-4.432675296,0.109789445,3.94E-06,0.000277017,0.6047966,0.009956966,0.042247209,3.45E-05,0.119154394,0.016287486,0.997857726,7.24E-06,9.36E-11,4.694767107,0.12997272,0.102314632,3.338166674,3.13E-09,3.622542704,2.563686229,0.052882972
0.946046647,2.251818635,-4.764422597,0.119684338,2.50E-07,0.000329828,0.611765665,0.002889643,4.54E-08,2.73E-05,0.13769407,0.007759378,0.967559739,0.000161246,1.28E-08,4.895008534,0.137627451,0.266542995,3.384038536,2.49E-09,3.892506207,2.46202711,0.067208563
0.87359859,3.060014014,-3.899829343,0.087033613,4.28E-10,0.028005118,0.55479862,1.41E-11,2.43E-05,3.27E-05,0.112141904,0.004615309,0.852546055,9.43E-05,0.001187831,4.938969263,0.125794006,0.207894551,3.383518933,6.19E-11,3.500359255,2.309392304,0.084984576
0.79616271,3.181880585,-4.157455989,0.128510074,3.83E-14,0.00057339,0.531856092,6.88E-11,1.61E-06,0.000117692,0.01985557,0.00993633,1.265065086,0.170669781,5.18E-05,5.048736739,0.150722205,0.746800351,3.669553474,3.16E-08,3.964617622,2.142819493,0.092754426
0.810432923,2.676701929,-4.449662006,0.066126039,1.30E-23,9.86E-05,0.680336074,0.017617339,1.42E-07,0.000353513,0.020578158,0.002255998,0.952575657,2.72E-16,0.003821571,6.448411543,0.083610641,0.060513911,3.441892473,0.039085874,2.059973594,3.656721826,0.056195224
0.995657957,2.784538094,-2.732959678,0.110716335,0.000984402,0.002893953,0.618228858,5.14E-05,3.90E-05,7.98E-06,0.000735033,0.000223942,0.984217579,4.79E-07,3.60E-10,8.564507912,0.112085784,2.35E-05,2.466037437,2.84E-06,3.399242105,3.656743764,0.098930109
